id,title,description,availability,condition,price,link,image_link,brand,google_product_category,quantity
zebra-shirt-001,"Oversized Zebra Print Shirt (Unisex)","Modern oversized zebra print shirt designed for quiet luxury. Premium polyester blend. Original ZAYN artwork.",in stock,new,74.90 USD,https://www.zaynbrand.com/go/zebra-shirt.html,https://i.etsystatic.com/60635710/r/il/a04de2/7348936752/il_794xN.7348936752_a19s.jpg,ZAYN,212,50
colorful-abstract-art-shirt-xs,"Colorful Abstract Art Shirt by ZAYN (XS)","Gallery-inspired abstract button-up blouse with quiet luxury styling.","in stock","new","64.91 USD","https://www.etsy.com/listing/4397061683/colorful-abstract-art-shirt-by-zayn","https://i.etsystatic.com/60635710/r/il/354309/7423200529/il_794xN.7423200529_fymj.jpg","ZAYN","Apparel & Accessories > Clothing > Shirts & Tops","50"
architectural-flow-monochrome-maxi-dress-s,"Architectural Flow Monochrome Maxi Dress by ZAYN (S)","Geometric navy-white maxi dress with quiet-luxury flow and gallery-inspired lines.",in stock,new,"74.91 USD","https://www.etsy.com/listing/4395332784/architectural-flow-monochrome-maxi-dress","https://i.etsystatic.com/60635710/r/il/5346be/7362072270/il_794xN.7362072270_lhg1.jpg","ZAYN","Apparel & Accessories > Clothing > Dresses","30"
abstract-swirl-print-a-line-dress-s,"Abstract Swirl Print A-Line Dress by ZAYN (S)","Colour-rich quiet luxury A-line dress with painterly abstract energy.",in stock,new,"74.90 USD","https://www.etsy.com/listing/4395333431/abstract-swirl-print-a-line-dress-colour","https://i.etsystatic.com/60635710/r/il/a8688e/7375279328/il_794xN.7375279328_nq67.jpg","ZAYN","Apparel & Accessories > Clothing > Dresses","30"
vintage-old-miami-beach-hoodie-s,"Vintage Old Miami Beach Hoodie by ZAYN (S)","70s style cotton sweatshirt with Miami nostalgia and minimalist quiet luxury.",in stock,new,"74.90 USD","https://www.etsy.com/listing/4393260404/vintage-old-miami-beach-hoodie-70s-style","https://i.etsystatic.com/60635710/r/il/11889f/7396843533/il_794xN.7396843533_5qyg.jpg","ZAYN","Apparel & Accessories > Clothing > Hoodies","30"
navy-cream-striped-turtleneck-sweater-s,"Navy & Cream Striped Turtleneck Sweater by ZAYN (S)","Minimalist quiet luxury winter knit in navy-cream nautical striped pattern.",in stock,new,"64.90 USD","https://www.etsy.com/listing/4397295886/navy-cream-striped-turtleneck-sweater","https://i.etsystatic.com/60635710/r/il/d86d4f/7375281836/il_794xN.7375281836_3kqm.jpg","ZAYN","Apparel & Accessories > Clothing > Sweaters","30"
geometric-spiral-midi-dress-xs,"Geometric Spiral Midi Dress by ZAYN (XS)","Navy & white optical illusion artwear midi dress in geometric spiral print.",in stock,new,"71.41 USD","https://www.etsy.com/listing/4399482565/geometric-spiral-midi-dress-navy-white","https://i.etsystatic.com/60635710/r/il/0f5cdf/7362608580/il_794xN.7362608580_9fas.jpg","ZAYN","Apparel & Accessories > Clothing > Dresses","30"
navy-architectural-maze-maxi-skirt-xs,"Navy Architectural Maze Maxi Skirt by ZAYN (XS)","Bold navy-white geometric maze artwear maxi skirt with quiet luxury styling.",in stock,new,"64.91 USD","https://www.etsy.com/listing/4397001178/navy-architectural-maze-maxi-skirt-by","https://i.etsystatic.com/60635710/r/il/0c46d8/7406519079/il_794xN.7406519079_qtnp.jpg","ZAYN","Apparel & Accessories > Clothing > Skirts > Maxi Skirts","30"
navy-geometric-maze-oversized-zip-hoodie-xs,"Navy Geometric Maze Oversized Zip Hoodie by ZAYN (XS)","Abstract navy-white maze pattern oversized zip hoodie — quiet luxury streetwear.",in stock,new,"79.91 USD","https://www.etsy.com/listing/4396507003/navy-geometric-maze-oversized-zip-hoodie","https://i.etsystatic.com/60635710/r/il/75fb9d/7375278284/il_794xN.7375278284_9lof.jpg","ZAYN","Apparel & Accessories > Clothing > Hoodies","30"
abstract-art-boho-summer-maxi-dress-s,"Abstract Art Boho Summer Maxi Dress by ZAYN (S)","Flowy lightweight boho sundress with colorful abstract art pattern.",in stock,new,"69.50 USD","https://www.etsy.com/listing/4360957979/abstract-art-boho-summer-maxi-dress","https://i.etsystatic.com/60635710/r/il/15a05b/7155592180/il_794xN.7155592180_k8oe.jpg","ZAYN","Apparel & Accessories > Clothing > Dresses","30"
abstract-art-longline-cardigan-geometric-xs,"Abstract Art Longline Cardigan by ZAYN (XS)","Geometric pattern lightweight coat with abstract art appeal and quiet luxury lines.",in stock,new,"79.90 USD","https://www.etsy.com/listing/4373523965/abstract-art-longline-cardigan-geometric","https://i.etsystatic.com/60635710/r/il/ead0ce/7290384608/il_794xN.7290384608_j38f.jpg","ZAYN","Apparel & Accessories > Clothing > Sweaters","30"
